hour,minute,date,real_temperature,real_dew_point,real_humidity,real_weather_state,real_visibility,real_rainfall,real_air_pressure,real_wind,real_wind_gusts,real_wind_direction
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,0,19.8.2021,20.4,13.3,64,bedeckt,52,0,1016.8,8,12,NW
14,10,19.8.2021,20.4,13.2,63,bedeckt,-999,0,1016.9,7,12,NW
14,10,19.8.2021,20.4,13.2,63,bedeckt,-999,0,1016.9,7,12,NW
14,30,19.8.2021,20.7,13.3,62,bedeckt,73,0,1016.7,5,9,N
14,30,19.8.2021,20.7,13.3,62,bedeckt,73,0,1016.7,5,9,N
14,30,19.8.2021,20.7,13.3,62,bedeckt,73,0,1016.7,5,9,N
